epoch,final_age_MAE,final_age_RMSE,final_age_loss,loss,lr,mature_output_loss,medium_output_loss,val_final_age_MAE,val_final_age_RMSE,val_final_age_loss,val_loss,val_mature_output_loss,val_medium_output_loss,val_young_output_loss,young_output_loss
0,0.09255512803792953,0.24467350542545319,0.0598553866147995,0.2707076370716095,5e-05,0.08738557994365692,0.13129930198192596,0.23831553757190704,0.2823431193828583,0.07971763610839844,3.166862726211548,0.0625,0.13710254430770874,11.64540958404541,0.11245346069335938
1,0.11570117622613907,0.24214963614940643,0.05863204970955849,0.23231454193592072,5e-05,0.06498180329799652,0.06646343320608139,0.14350396394729614,0.24780669808387756,0.061408162117004395,0.7497706413269043,0.09581920504570007,0.06256984174251556,2.1038241386413574,0.0662129819393158
2,0.1170429065823555,0.24208493530750275,0.05860217660665512,0.2278277426958084,5e-05,0.06294883042573929,0.06436339020729065,0.11734373867511749,0.24206872284412384,0.05859726667404175,0.22625309228897095,0.0625,0.0625,0.06405671685934067,0.0633278638124466
3,0.11710447818040848,0.24207904934883118,0.05859975889325142,0.22552981972694397,5e-05,0.062689408659935,0.06343433260917664,0.11722850054502487,0.24206146597862244,0.0585937537252903,0.22370032966136932,0.0625,0.0625,0.0625,0.0643763616681099
4,0.11711017787456512,0.242074653506279,0.0585961677134037,0.22337287664413452,5e-05,0.06435253471136093,0.06302885711193085,0.11720623821020126,0.24206145107746124,0.05859375,0.22163017094135284,0.0625,0.0625,0.0625,0.06291861832141876
5,0.11712683737277985,0.24207212030887604,0.05859552323818207,0.22097419202327728,5e-05,0.06315925717353821,0.06298679858446121,0.11727678775787354,0.24206146597862244,0.0585937537252903,0.219509094953537,0.0625,0.0625,0.0625,0.062935009598732
6,0.11716578900814056,0.24206691980361938,0.058593545109033585,0.21856848895549774,5e-05,0.06270642578601837,0.0628015398979187,0.11720598489046097,0.24206146597862244,0.0585937537252903,0.21727117896080017,0.0625,0.0625,0.0625,0.0626448467373848
7,0.1171606183052063,0.24206501245498657,0.0585930235683918,0.2171054184436798,1e-05,0.06266344338655472,0.06265300512313843,0.11721328645944595,0.24206145107746124,0.05859375,0.21676766872406006,0.0625,0.0625,0.0625,0.06250043213367462
8,0.11717555671930313,0.2420646995306015,0.05859299749135971,0.2166595458984375,1e-05,0.0626068040728569,0.06276725232601166,0.1172027662396431,0.24206145107746124,0.05859375,0.21618632972240448,0.0625,0.0625,0.0625,0.0628247857093811
9,0.11717601865530014,0.2420627772808075,0.058591607958078384,0.2159218043088913,1e-05,0.06250647455453873,0.06268364936113358,0.11721200495958328,0.24206145107746124,0.05859375,0.21550939977169037,0.0625,0.0625,0.0625,0.06257980316877365
10,0.11717656999826431,0.2420651912689209,0.05859287455677986,0.21522128582000732,1e-05,0.06266528367996216,0.06259819865226746,0.1171783059835434,0.24206145107746124,0.05859375,0.2147304266691208,0.0625,0.0625,0.0625,0.06260643154382706
11,0.11717502027750015,0.2420637607574463,0.058591634035110474,0.21473009884357452,2e-06,0.06250861287117004,0.06269937008619308,0.11719600856304169,0.24206145107746124,0.0585937462747097,0.21454937756061554,0.0625,0.0625,0.0625,0.06265214830636978
12,0.11718371510505676,0.2420646697282791,0.058592211455106735,0.2145339846611023,2e-06,0.06254485994577408,0.0625617653131485,0.11720017343759537,0.24206145107746124,0.0585937462747097,0.2143402397632599,0.0625,0.0625,0.0625,0.06274567544460297
13,0.11718224734067917,0.24206386506557465,0.058591678738594055,0.21429389715194702,2e-06,0.0625050738453865,0.06262458860874176,0.11720751225948334,0.24206146597862244,0.0585937537252903,0.21409909427165985,0.0625,0.0625,0.0625,0.06266268342733383
14,0.1171850636601448,0.24206379055976868,0.05859214439988136,0.21404486894607544,2e-06,0.06260869652032852,0.06262770295143127,0.11718976497650146,0.24206146597862244,0.0585937537252903,0.21382327377796173,0.0625,0.0625,0.0625,0.06259004026651382
